sistema,uf,competencia,cnes,procedimento,qtd,valor
SIA,BA,202501,3948684,0206030037,7.0,970.41
SIA,BA,202501,3948684,0206020031,12.0,1636.92
SIA,BA,202501,2520613,0206010036,2.0,173.52
SIA,BA,202501,2520613,0206010044,3.0,260.25
SIA,BA,202501,6211496,0211020036,360.0,1854.0
SIA,BA,202501,0004251,0206030010,14.0,1940.82
SIA,BA,202501,9922962,0206010010,23.0,1995.48
SIA,BA,202501,2799790,0206010010,13.0,1127.88
SIA,BA,202501,2799839,0206030037,34.0,4713.42
SIA,BA,202501,2799839,0206010044,53.0,4597.75
SIA,BA,202501,0003980,0206020015,20.0,1735.0
SIA,BA,202501,9922962,0206030029,23.0,1995.25
SIA,BA,202501,9866027,0206020015,4.0,347.0
SIA,BA,202501,9866035,0206030037,13.0,1802.19
SIA,BA,202501,2799839,0206010036,4.0,347.04
SIA,BA,202501,0005428,0206030037,12.0,1663.56
SIA,BA,202501,0003778,0206010079,23.0,2241.12
SIA,BA,202501,0003786,0206010079,121.0,11790.24
SIA,BA,202501,6414702,0206010052,5.0,433.75
SIA,BA,202501,2526565,0211020036,80.0,412.0
SIA,BA,202501,0003778,0206010052,10.0,867.5
SIA,BA,202501,0003980,0206020031,29.0,3955.89
SIA,BA,202501,6237509,0206010028,2.0,490.0
SIA,BA,202501,0059218,0206020015,3.0,260.25
SIA,BA,202501,9866035,0206010036,9.0,780.84
SIA,BA,202501,4026896,0206030029,13.0,1127.75
SIA,BA,202501,2520613,0206010010,6.0,520.56
SIA,BA,202501,5889448,0206010079,20.0,1948.8
SIA,BA,202501,9866035,0206030010,7.0,970.41
SIA,BA,202501,4389034,0206020015,20.0,1735.0
SIA,BA,202501,2494973,0206010028,7.0,707.7
SIA,BA,202501,9922962,0206020015,12.0,1041.0
SIA,BA,202501,2799790,0206010028,3.0,303.3
SIA,BA,202501,2799839,0206010010,4.0,347.04
SIA,BA,202501,6237509,0206030010,10.0,2250.0
SIA,BA,202501,2487756,0206030037,1.0,138.63
SIA,BA,202501,2487756,0206030010,1.0,138.63
